Zip Code,Sub District,District,Jenis,City,Regency
15111,Suka Asih,Tangerang,Kota,Tangerang,Banten
15111,Sukarasa,Tangerang,Kota,Tangerang,Banten
15112,Koang Jaya,Karawaci,Kota,Tangerang,Banten
15112,Nambo Jaya,Karawaci,Kota,Tangerang,Banten
15112,Pabuaran Tumpeng,Karawaci,Kota,Tangerang,Banten
15112,Pasar Baru,Karawaci,Kota,Tangerang,Banten
15113,Bugel,Karawaci,Kota,Tangerang,Banten
15113,Gerendeng,Karawaci,Kota,Tangerang,Banten
15113,Marga Sari,Karawaci,Kota,Tangerang,Banten
15113,Suka Jadi,Karawaci,Kota,Tangerang,Banten
15114,Cimone,Karawaci,Kota,Tangerang,Banten
15114,Pabuaran,Karawaci,Kota,Tangerang,Banten
15114,Sumur Pancing (Pacing),Karawaci,Kota,Tangerang,Banten
15115,Bojong Jaya,Karawaci,Kota,Tangerang,Banten
15115,Karawaci,Karawaci,Kota,Tangerang,Banten
15116,Cimone Jaya,Karawaci,Kota,Tangerang,Banten
15116,Karawaci Baru,Karawaci,Kota,Tangerang,Banten
15116,Nusa Jaya,Karawaci,Kota,Tangerang,Banten
15117,Cikokol,Tangerang,Kota,Tangerang,Banten
15117,Kelapa Indah,Tangerang,Kota,Tangerang,Banten
15118,Babakan,Tangerang,Kota,Tangerang,Banten
15118,Sukasari,Tangerang,Kota,Tangerang,Banten
15119,Buaran Indah,Tangerang,Kota,Tangerang,Banten
15119,Tanah Tinggi,Tangerang,Kota,Tangerang,Banten
15121,Batu Jaya,Batuceper,Kota,Tangerang,Banten
15121,Batu Sari,Batuceper,Kota,Tangerang,Banten
15121,Karang Anyar,Neglasari,Kota,Tangerang,Banten
15121,Karang Sari,Neglasari,Kota,Tangerang,Banten
15122,Batu Ceper,Batuceper,Kota,Tangerang,Banten
15122,Kebon Besar,Batuceper,Kota,Tangerang,Banten
15122,Poris Gaga,Batuceper,Kota,Tangerang,Banten
15122,Poris Gaga Baru,Batuceper,Kota,Tangerang,Banten
15122,Poris Jaya,Batuceper,Kota,Tangerang,Banten
15123,Belendung,Benda,Kota,Tangerang,Banten
15124,Jurumudi,Benda,Kota,Tangerang,Banten
15124,Jurumudi Baru,Benda,Kota,Tangerang,Banten
15125,Benda,Benda,Kota,Tangerang,Banten
15126,Pajang,Benda,Kota,Tangerang,Banten
15127,Selapajang Jaya,Neglasari,Kota,Tangerang,Banten
15128,Kedaung Baru,Neglasari,Kota,Tangerang,Banten
15128,Kedaung Wetan,Neglasari,Kota,Tangerang,Banten
15129,Mekar Sari,Neglasari,Kota,Tangerang,Banten
15129,Neglasari,Neglasari,Kota,Tangerang,Banten
15131,Periuk,Periuk,Kota,Tangerang,Banten
15131,Periuk Jaya,Periuk,Kota,Tangerang,Banten
15132,Gebang Raya,Periuk,Kota,Tangerang,Banten
15132,Sangiang Jaya,Periuk,Kota,Tangerang,Banten
15133,Alam Jaya,Jatiuwung,Kota,Tangerang,Banten
15133,Gembor,Periuk,Kota,Tangerang,Banten
15134,Jatiuwung,Cibodas,Kota,Tangerang,Banten
15134,Keroncong,Jatiuwung,Kota,Tangerang,Banten
15135,Pasir Jaya,Jatiuwung,Kota,Tangerang,Banten
15136,Jatake,Jatiuwung,Kota,Tangerang,Banten
15136,Manis Jaya,Jatiuwung,Kota,Tangerang,Banten
15137,Gandasari,Jatiuwung,Kota,Tangerang,Banten
15138,Cibodas,Cibodas,Kota,Tangerang,Banten
15138,Cibodas Baru,Cibodas,Kota,Tangerang,Banten
15138,Cibodas Sari,Cibodas,Kota,Tangerang,Banten
15138,Uwung Jaya,Cibodas,Kota,Tangerang,Banten
15139,Panunggangan Barat,Cibodas,Kota,Tangerang,Banten
15141,Poris Plawad,Cipondoh,Kota,Tangerang,Banten
15141,Poris Plawad Indah,Cipondoh,Kota,Tangerang,Banten
15141,Poris Plawad Utara,Cipondoh,Kota,Tangerang,Banten
15146,Gondrong,Cipondoh,Kota,Tangerang,Banten
15146,Kenanga,Cipondoh,Kota,Tangerang,Banten
15147,Ketapang,Cipondoh,Kota,Tangerang,Banten
15147,Petir,Cipondoh,Kota,Tangerang,Banten
15148,Cipondoh,Cipondoh,Kota,Tangerang,Banten
15148,Cipondoh Indah,Cipondoh,Kota,Tangerang,Banten
15148,Cipondoh Makmur,Cipondoh,Kota,Tangerang,Banten
15151,Sudimara Barat,Ciledug,Kota,Tangerang,Banten
15151,Sudimara Jaya,Ciledug,Kota,Tangerang,Banten
